2,,1/2/1995,Monday,Mon,2,2,2,1,1,,January,Jan,1,1,1,1,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
3,,1/3/1995,Tuesday,Tue,3,3,3,1,1,,January,Jan,1,1,1,1,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
4,,1/4/1995,Wednesday,Wed,4,4,4,1,1,,January,Jan,1,1,1,1,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
5,,1/5/1995,Thursday,Thu,5,5,5,1,1,,January,Jan,1,1,1,1,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
6,,1/6/1995,Friday,Fri,6,6,6,1,1,,January,Jan,1,1,1,1,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
7,,1/7/1995,Saturday,Sat,7,7,7,1,1,,January,Jan,1,1,1,1,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
8,,1/8/1995,Sunday,Sun,1,8,8,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
9,,1/9/1995,Monday,Mon,2,9,9,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
10,,1/10/1995,Tuesday,Tue,3,10,10,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
11,,1/11/1995,Wednesday,Wed,4,11,11,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
12,,1/12/1995,Thursday,Thu,5,12,12,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
13,,1/13/1995,Friday,Fri,6,13,13,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
14,,1/14/1995,Saturday,Sat,7,14,14,2,2,,January,Jan,1,1,1,2,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
15,,1/15/1995,Sunday,Sun,1,15,15,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
16,,1/16/1995,Monday,Mon,2,16,16,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
17,,1/17/1995,Tuesday,Tue,3,17,17,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
18,,1/18/1995,Wednesday,Wed,4,18,18,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
19,,1/19/1995,Thursday,Thu,5,19,19,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
20,,1/20/1995,Friday,Fri,6,20,20,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
21,,1/21/1995,Saturday,Sat,7,21,21,3,3,,January,Jan,1,1,1,3,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
22,,1/22/1995,Sunday,Sun,1,22,22,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
23,,1/23/1995,Monday,Mon,2,23,23,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
24,,1/24/1995,Tuesday,Tue,3,24,24,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
25,,1/25/1995,Wednesday,Wed,4,25,25,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
26,,1/26/1995,Thursday,Thu,5,26,26,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
27,,1/27/1995,Friday,Fri,6,27,27,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
28,,1/28/1995,Saturday,Sat,7,28,28,3,4,,January,Jan,1,1,1,4,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
29,,1/29/1995,Sunday,Sun,1,29,29,3,5,,January,Jan,1,1,1,5,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
30,,1/30/1995,Monday,Mon,2,30,30,3,5,,January,Jan,1,1,1,5,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
31,,1/31/1995,Tuesday,Tue,3,31,31,3,5,,January,Jan,1,1,1,5,,1,,1,,,,1995,95,Winter,Win,,N,N,T,N
32,,2/1/1995,Wednesday,Wed,4,1,32,1,5,,February,Feb,2,1,2,5,,1,,2,,,,1995,95,Winter,Win,,N,N,T,N
33,,2/2/1995,Thursday,Thu,5,2,33,1,5,,February,Feb,2,1,2,5,,1,,2,,,,1995,95,Winter,Win,,N,N,T,N
34,,2/3/1995,Friday,Fri,6,3,34,1,5,,February,Feb,2,1,2,5,,1,,2,,,,1995,95,Winter,Win,,N,N,T,N
