56,14937,2410,905,1139
57,14938,5100,766,1385
58,14939,8493,826,1219
59,14940,4435,1092,1348
60,14941,5211,781,1493
61,14942,5387,554,1249
62,14943,2524,626,1130
63,14944,3418,661,1187
64,14945,3564,857,1434
65,14946,822,864,1226
66,14947,467,978,1579
67,14948,9076,987,1190
68,14949,2124,1092,1132
69,14950,7695,858,1603
70,14951,8858,577,1208
71,14952,9531,655,1438
72,14953,8695,737,1369
31,14954,1005,1089,1577
32,14955,2628,646,1496
33,14956,9094,797,1148
34,14957,3120,862,1190
35,14958,1438,919,1352
36,14959,2483,928,1478
37,14960,7673,561,1457
38,14961,6832,996,1580
39,14962,5566,1033,1458
40,14963,8400,888,1597
41,14964,749,1052,1255
42,14965,5214,889,1158
43,14966,205,892,1120
44,14967,3923,825,1185
45,14968,3355,613,1158
46,14969,9997,609,1434
47,14970,6873,980,1630
48,14971,945,615,1203
49,14972,6492,734,1456
50,14973,3857,650,1584
51,14974,7280,768,1206
52,14975,9671,659,1120
53,14976,9432,1079,1462
54,14977,4410,759,1373
55,14978,5795,623,1517
56,14979,3436,572,1578
57,14980,6329,727,1423
58,14981,9780,791,1522
59,14982,9819,767,1426
60,14983,3086,726,1149
61,14984,589,1090,1280
62,14985,2952,653,1492
63,14986,4007,584,1403
64,14987,581,1083,1584
65,14988,5435,771,1268
66,14989,7070,1025,1528
67,14990,9280,701,1286
68,14991,6542,796,1103
69,14992,4088,831,1396
70,14993,8880,794,1275
71,14994,2548,717,1140
72,14995,1394,687,1610
31,14996,8028,863,1491
32,14997,2512,573,1239
33,14998,8106,1052,1600
34,14999,4826,561,1186
55,14936,2917,1059,1330
67,14864,6907,556,1354
68,14865,5972,806,1459
69,14866,5494,733,1422
70,14867,6046,676,1633
71,14868,3389,1053,1374
72,14869,2334,690,1277
31,14870,4795,898,1221
32,14871,8681,625,1515
33,14872,576,757,1347
34,14873,5117,989,1503
35,14874,6926,1007,1108
36,14875,339,927,1474
37,14876,3485,1077,1300
38,14877,818,622,1289
39,14878,1454,1066,1303
40,14879,4257,746,1337
41,14880,5313,626,1152
42,14881,434,597,1453
43,14882,8409,841,1545
44,14883,5822,1014,1602
45,14884,9209,896,1475
46,14885,816,706,1256
47,14886,7559,989,1549
48,14887,1471,918,1484
49,14888,5299,859,1505
50,14889,2292,638,1229
51,14890,9046,553,1600
52,14891,4337,844,1456
53,14892,1405,907,1606
54,14893,4759,639,1363
55,14894,6293,941,1274
56,14895,1315,1037,1384
57,14896,886,631,1177
58,14897,9399,944,1195
59,14898,7144,1022,1135
60,14899,1250,791,1480
61,14900,6054,963,1375
62,14901,8247,575,1525
63,14902,4163,594,1573
64,14903,8915,571,1549
65,14904,586,673,1483
66,14905,8765,777,1151
67,14906,22,688,1426
68,14907,4481,949,1379
69,14908,9385,1029,1554
70,14909,5630,1074,1498
71,14910,8936,978,1523
72,14911,3173,723,1586
31,14912,9313,944,1271
32,14913,6913,875,1576
33,14914,62,839,1538
34,14915,4770,729,1178
35,14916,9245,800,1632
36,14917,6844,665,1616
37,14918,3813,1040,1310
38,14919,7674,911,1569
39,14920,2874,557,1571
40,14921,2341,902,1112
41,14922,7016,560,1621
42,14923,7206,988,1252
43,14924,2714,1033,1624
44,14925,5500,867,1401
45,14926,7860,847,1307
46,14927,2830,1068,1274
