1,40,1,485585,260,300,30,2,8,1,3982,354,28802,1772,1,1725,,,,,PN                                 
2,40,1,513233,260,300,30,2,8,1,3982,354,29167,1,1,1725,,,,,PN                                 
3,453,2,501241,328,413,30,3,5,5,3670,428,28491,1800,2,1379,,,,,PN                                 
4,453,2,502969,328,413,30,3,5,5,3670,428,29195,1,2,1379,,,,,PN                                 
5,62,3,501367,196,489,30,3,4,5,1444,356,28491,1,3,2055,,,,,PN                                 
8,347,4,402793,268,211,30,3,5,3,3212,194,28491,1,5,2183,,,,,PN                                 
9,3,5,499645,286,175,30,3,6,5,2070,472,28491,1,6,1159,,,,,PN                                 
10,91,6,485021,260,235,30,3,8,1,280,389,28491,1,7,1766,,,,,PN                                 
11,232,7,481569,218,1,30,2,3,1,1301,152,28491,1,8,2085,,,,,PN                                 
12,129,8,470269,244,127,30,2,5,4,3532,382,28491,1,9,1534,,,,,PN                                 
14,62,9,522127,177,50,30,1,1,2,3829,361,28491,1,11,1317,,,,,PN                                 
16,276,10,471941,33,182,30,1,3,4,1710,44,28491,1,13,1131,,,,,PN                                 
17,240,11,413261,226,370,30,2,2,3,598,26,28491,1,14,1561,,,,,PN                                 
18,408,12,394249,118,294,30,1,3,5,4157,413,28491,1,15,1754,,,,,PN                                 
19,237,13,525459,261,498,30,2,1,2,2365,6,28491,1,16,2015,,,,,PN                                 
21,31,14,516125,267,257,30,2,6,2,1728,304,28491,1,18,1158,,,,,PN                                 
22,95,15,471955,279,302,30,2,1,4,248,294,28491,1,19,1917,,,,,PN                                 
23,440,16,484995,205,80,30,1,6,1,3455,271,28491,1,20,1292,,,,,PN                                 
24,214,17,453967,247,156,30,3,5,1,4161,74,28491,1,21,1325,,,,,PN                                 
26,184,18,485059,247,438,30,1,3,1,3659,61,28491,1,23,2177,,,,,PN                                 
27,39,19,413119,94,405,30,2,2,3,1617,346,28491,1,24,1575,,,,,PN                                 
28,24,20,399289,184,185,30,2,2,3,2871,220,28491,1,25,1411,,,,,PN                                 
29,117,21,481707,170,71,30,2,1,1,2638,359,28491,1,26,1321,,,,,PN                                 
31,10,22,442573,274,342,30,2,6,4,1481,447,28491,1,28,1342,,,,,PN                                 
32,78,23,501389,244,386,30,3,6,5,2906,72,28491,1,29,1891,,,,,PN                                 
