414,10,9986,3609,3334,208,83,445,153,726,6,44,4677,8914,DEFAULT
403,8,9987,156,3660,4668,1015,165,373,1938,173,411,4702,4538,DEFAULT
354,10,9988,2313,2777,3707,311,69,337,865,475,198,4688,3050,DEFAULT
348,9,9989,3352,4641,2047,3412,90,128,464,80,63,4618,4767,DEFAULT
392,10,9990,4167,4609,3262,1353,253,271,731,394,193,4549,5571,DEFAULT
411,7,9991,818,2606,579,4511,114,201,339,150,390,4347,9096,DEFAULT
414,8,9992,2757,4180,1087,1902,231,203,863,100,6,4413,4398,DEFAULT
155,5,9993,2018,703,2785,1340,124,55,1918,395,133,4729,7970,DEFAULT
279,4,9994,2523,244,4966,4780,112,152,1530,281,238,4462,4239,DEFAULT
340,8,9995,2291,2588,2812,4768,254,462,1266,199,473,4585,3901,DEFAULT
429,10,9996,2281,4153,1208,2912,519,158,41,223,380,4584,1864,DEFAULT
187,8,9997,767,4352,2873,1653,125,209,1225,316,189,4745,3777,DEFAULT
228,10,9998,3001,169,4439,488,304,436,1827,469,389,4754,1991,DEFAULT
267,5,9999,4505,1941,4632,382,473,239,1425,383,251,4574,7377,DEFAULT
282,4,10000,2752,1007,2602,1793,277,197,282,462,358,4770,800,DEFAULT
489,10,9985,1300,2488,403,380,464,280,902,168,36,4749,9588,DEFAULT
47,6,9960,3036,2177,2359,3014,60,109,1973,250,434,4435,2419,DEFAULT
388,1,9961,2993,954,1161,350,488,344,1073,301,287,4316,4805,DEFAULT
210,3,9962,1708,517,2305,2054,214,232,591,247,161,4650,4120,DEFAULT
197,6,9963,1119,4978,9,3787,323,394,1648,314,102,4556,442,DEFAULT
472,5,9964,4477,3911,3618,1205,60,435,1695,198,156,4480,3581,DEFAULT
230,1,9965,2776,1781,3527,4904,147,434,1672,323,327,4427,8985,DEFAULT
385,2,9966,1744,1341,4294,2127,146,468,1121,205,261,4463,5467,DEFAULT
23,6,9967,4310,4557,1452,1034,350,320,950,140,121,4691,7844,DEFAULT
56,3,9968,3887,446,4245,3769,202,427,1802,320,342,4578,5241,DEFAULT
352,1,9969,262,2312,3339,1098,394,485,445,460,340,4565,4878,DEFAULT
482,1,9970,898,2056,4614,971,262,180,1254,410,39,4307,1055,DEFAULT
62,8,9971,2146,3026,4353,109,341,175,335,264,118,4762,917,DEFAULT
215,6,9972,4257,1064,4675,2810,492,26,880,452,314,4690,2216,DEFAULT
141,6,9973,2530,3374,3415,948,270,164,172,226,387,4779,526,DEFAULT
198,5,9974,3242,3026,1507,2801,273,375,30,440,385,4592,6931,DEFAULT
325,10,9975,527,4048,3006,4687,318,226,979,451,289,4425,9487,DEFAULT
92,5,9976,535,3888,1169,805,141,215,867,397,324,4747,6455,DEFAULT
354,2,9977,861,995,889,150,478,284,1871,110,426,4397,2446,DEFAULT
75,5,9978,1616,544,2455,4731,222,197,1277,435,91,4375,3539,DEFAULT
90,6,9979,1364,4856,1051,4239,217,181,2053,21,402,4527,4858,DEFAULT
198,3,9980,4616,578,1103,1742,515,174,2037,461,54,4626,1568,DEFAULT
128,2,9981,1265,4159,2279,2258,283,112,1707,6,397,4685,6153,DEFAULT
308,8,9982,2718,3754,4229,2060,284,229,744,35,217,4624,8103,DEFAULT
337,7,9983,2952,3093,1195,2811,521,362,1829,471,402,4378,2060,DEFAULT
54,6,9984,415,3640,2341,1527,460,493,656,112,500,4731,4090,DEFAULT
285,10,9959,3225,2835,2431,4146,161,169,1499,248,216,4472,7745,DEFAULT
391,7,9934,3726,2071,2545,1682,72,271,1789,158,112,4461,8753,DEFAULT
286,4,9935,2106,174,1293,3423,139,171,201,395,208,4558,8909,DEFAULT
156,4,9936,3027,3488,1268,3343,271,166,1840,355,101,4394,4544,DEFAULT
41,2,9937,1367,2865,3441,2100,195,6,1874,341,193,4646,4853,DEFAULT
364,9,9938,4411,1642,1270,539,46,338,1682,310,384,4520,814,DEFAULT
195,10,9939,1083,3741,741,4575,264,416,1560,11,241,4673,288,DEFAULT
462,6,9940,2229,4333,3949,3795,451,64,2099,239,273,4446,8737,DEFAULT
152,4,9941,3944,1327,1867,1226,289,26,41,354,182,4300,9249,DEFAULT
262,8,9942,2440,2341,2323,3266,314,153,70,317,140,4469,8118,DEFAULT
365,9,9943,1877,4662,3993,618,398,502,451,350,38,4534,4504,DEFAULT
169,7,9944,2392,4143,305,3418,179,191,237,285,129,4720,6043,DEFAULT
423,9,9945,23,4209,790,2243,68,433,1366,146,132,4299,4020,DEFAULT
171,7,9946,686,1109,3507,3259,273,416,1394,322,349,4725,6831,DEFAULT
297,1,9947,4610,3841,2117,4596,445,35,91,470,252,4785,9507,DEFAULT
420,9,9948,3038,2655,4945,1687,36,390,25,311,410,4395,3094,DEFAULT
186,1,9949,4396,1174,2409,3330,153,128,401,466,247,4381,3642,DEFAULT
13,8,9950,4175,3747,4620,4630,511,256,885,440,182,4315,2584,DEFAULT
62,10,9951,4489,2530,1964,3242,296,332,919,173,145,4363,1098,DEFAULT
484,2,9952,3811,1735,3291,2489,428,491,757,159,181,4435,492,DEFAULT
112,10,9953,1446,393,2832,202,119,80,1091,198,104,4646,1569,DEFAULT
299,10,9954,2141,3838,3454,1132,160,30,386,5,461,4674,3355,DEFAULT
453,9,9955,2862,972,2107,144,446,389,166,93,357,4683,6846,DEFAULT
195,8,9956,2847,3844,99,436,478,308,199,244,486,4303,9722,DEFAULT
129,8,9957,1158,3110,3110,2892,163,406,2155,319,311,4326,4854,DEFAULT
255,10,9958,4776,4841,1093,4278,207,369,1861,213,139,4654,5803,DEFAULT
27,8,9933,1285,2557,701,733,139,259,877,330,442,4762,6434,DEFAULT
216,6,9908,2349,1697,2003,1867,450,420,490,153,142,4398,4075,DEFAULT
491,3,9909,3945,3480,4763,3880,117,52,270,207,285,4366,4553,DEFAULT
168,9,9910,502,2769,1759,4875,94,338,1081,105,384,4513,3930,DEFAULT
67,4,9911,2751,1590,1912,3538,310,167,927,218,104,4357,303,DEFAULT
363,10,9912,244,3180,4656,4642,220,125,237,308,50,4650,1681,DEFAULT
388,8,9913,372,634,2905,2596,364,212,76,74,415,4780,8298,DEFAULT
105,9,9914,413,1693,4423,324,482,231,237,121,461,4572,1973,DEFAULT
407,1,9915,2118,4126,367,410,66,160,793,145,340,4792,9285,DEFAULT
360,7,9916,1149,4853,3311,548,502,477,735,459,29,4461,1111,DEFAULT
305,4,9917,4041,4283,542,1653,285,187,1839,436,160,4779,7365,DEFAULT
302,4,9918,605,2072,4639,2947,281,205,364,415,340,4360,7825,DEFAULT
312,10,9919,2854,4486,4381,3225,39,355,1004,113,478,4439,7842,DEFAULT
447,7,9920,3446,1734,3643,3055,253,360,1036,466,168,4450,4300,DEFAULT
12,1,9921,3386,1026,239,820,410,455,670,496,197,4789,1425,DEFAULT
21,4,9922,2055,1996,1368,1870,416,393,814,439,245,4533,9542,DEFAULT
393,1,9923,324,4697,846,4054,475,475,1053,492,212,4644,8991,DEFAULT
134,10,9924,2654,950,4659,965,175,367,1591,241,39,4329,3702,DEFAULT
477,4,9925,1345,201,3598,3335,40,152,1442,232,85,4638,9522,DEFAULT
278,2,9926,463,2783,1292,2606,517,167,957,152,388,4726,2483,DEFAULT
80,2,9927,4344,3123,4522,1062,443,349,1905,82,89,4313,5497,DEFAULT
438,8,9928,1369,2746,3400,3288,240,476,2147,371,85,4775,6409,DEFAULT
133,2,9929,716,1115,297,4811,401,156,1924,248,386,4635,1191,DEFAULT
75,10,9930,2775,2142,375,376,76,94,50,15,75,4758,1757,DEFAULT
