4934,722,debit                              
4935,124,cash                               
4936,1407,trvchk                             
4937,811,check                              
4938,1775,MC                                 
4939,1920,MO                                 
4940,1959,credit                             
4941,394,MO                                 
4942,1371,check                              
4943,1571,cash                               
4944,2138,cash                               
4945,1319,credit                             
4946,1642,debit                              
4947,2173,credit                             
4948,1749,MC                                 
4949,1745,check                              
4950,2078,check                              
4951,205,check                              
4952,504,MO                                 
4953,176,MC                                 
4954,1129,debit                              
4955,1994,debit                              
4956,306,MC                                 
4957,562,check                              
4958,1365,check                              
4959,2095,check                              
4960,135,cash                               
4961,1222,MO                                 
4962,668,MO                                 
4963,305,credit                             
4964,1080,MO                                 
4965,491,debit                              
4966,136,trvchk                             
4967,317,debit                              
4968,1769,credit                             
4969,1536,credit                             
4970,200,trvchk                             
4971,980,credit                             
4972,1756,MO                                 
4973,1018,cash                               
4974,311,MO                                 
4975,2078,credit                             
4976,1887,trvchk                             
4977,1027,MO                                 
4978,2185,debit                              
4979,518,cash                               
4980,1651,debit                              
4981,488,MC                                 
4982,1264,debit                              
4983,1044,MO                                 
4984,104,debit                              
4985,1065,check                              
4986,1469,MO                                 
4987,2014,credit                             
4988,341,credit                             
4989,1308,credit                             
4990,640,check                              
4991,82,cash                               
4992,2192,MC                                 
4993,916,trvchk                             
4994,1446,debit                              
4995,639,cash                               
4996,677,credit                             
4997,2003,check                              
4998,1760,trvchk                             
4999,1121,check                              
5000,1166,cash                               
4933,1037,debit                              
4846,1616,MO                                 
4847,1067,MC                                 
4848,1010,MC                                 
4849,2152,MO                                 
4850,1566,debit                              
4851,544,MC                                 
4852,1892,MO                                 
4853,175,check                              
4854,940,debit                              
4855,1533,check                              
4856,784,MO                                 
4857,1083,trvchk                             
4858,398,trvchk                             
4859,293,MO                                 
4860,1490,cash                               
4861,2011,check                              
4862,269,trvchk                             
4863,1520,credit                             
4864,1539,trvchk                             
4865,424,check                              
4866,511,MC                                 
4867,284,cash                               
4868,1593,trvchk                             
4869,1954,check                              
4870,2032,credit                             
4871,421,MO                                 
4872,882,credit                             
4873,1107,credit                             
4874,628,credit                             
4875,1396,debit                              
4876,588,check                              
4877,606,MO                                 
4878,2001,debit                              
4879,1900,cash                               
4880,2021,check                              
4881,1415,debit                              
4882,900,debit                              
4883,418,cash                               
4884,1780,trvchk                             
4885,711,check                              
4886,1073,MO                                 
4887,1558,trvchk                             
4888,1439,check                              
4889,2185,debit                              
4890,1531,credit                             
4891,1831,trvchk                             
4892,1065,check                              
4893,1406,check                              
4894,1706,check                              
4895,909,MC                                 
4896,678,cash                               
4897,1058,credit                             
4898,1412,MO                                 
4899,1100,trvchk                             
4900,900,debit                              
4901,1233,debit                              
4902,2169,credit                             
4903,1624,credit                             
4904,578,trvchk                             
4905,2065,check                              
4906,1134,MO                                 
4907,830,check                              
4908,169,MO                                 
4909,1151,MO                                 
4910,1744,cash                               
4911,1972,check                              
4912,2107,cash                               
4913,1110,cash                               
4914,1617,check                              
