4979,61,,1563,2192,2173,Y,12345,11660.75,46.4,Y ,G4                                 ,inspector,N
4980,250,,1484,2072,2165,Y,12345,6340.9,5.57,v ,G5                                 ,architect,N
4981,458,,1110,1679,2022,Y,12345,70.35,51.3,z ,G4                                 ,architect,Y
4982,491,,1485,1884,2013,Y,12345,6401.21,39.1,JU,G4                                 ,designer,Y
4983,270,,1117,1912,1670,N,12345,5635.64,24.3,v ,G1                                 ,architect,N
4984,340,,1131,1983,1892,N,12345,6959.13,34.8,Q ,G5                                 ,supervisor,Y
4985,484,,1637,1873,1913,Y,12345,6370.73,33.6,h ,G4                                 ,architect,N
4986,210,,1108,2055,1818,N,12345,19829.45,40.3,V ,G5                                 ,designer,N
4987,127,,1324,1673,1801,Y,12345,17777.89,33.2,RP,G4                                 ,mgr-2,N
4988,14,1707,1640,2156,1729,N,12345,7195.11,73.8,T ,G1                                 ,architect,Y
4989,63,,1468,2158,1689,Y,12345,16397.23,51.5,ff,G3                                 ,mgr-2,Y
4990,386,,1472,1730,1812,Y,12345,12564.12,65.3,r ,G2                                 ,inspector,N
4991,504,,1410,1712,1646,N,12345,10795.22,7.35,yN,G1                                 ,supervisor,N
4992,465,,1404,1750,2078,Y,12345,17115.14,66.6,h ,G5                                 ,mgr-3,Y
4993,399,,1488,1879,2033,N,12345,15919.67,90.2,B ,G3                                 ,mgr-2,Y
4994,374,1760,1379,1986,1755,Y,12345,8306.31,71.9,fB,G1                                 ,architect,Y
4995,524,,1332,1793,1829,Y,12345,1101.04,48.8,Sn,G2                                 ,analyst,N
4996,275,2053,1551,1802,1661,N,12345,4062.21,98.9,kX,G4                                 ,designer,N
4997,403,2129,1118,1927,1694,Y,12345,1876.74,68.7,g ,G4                                 ,mgr-2,N
4998,341,,1564,2067,2012,Y,12345,17264.47,7.81,h ,G4                                 ,mgr-2,N
4999,547,,1224,1834,1969,Y,12345,1644.95,33.5,F ,G1                                 ,analyst,N
5000,514,,1274,1697,1793,Y,12345,14247.05,20.1,S ,G5                                 ,mgr-3,Y
4978,528,1874,1510,1885,2038,Y,12345,10378.83,8.85,Q ,G2                                 ,architect,Y
4952,206,1788,1106,1684,2134,N,12345,7526.22,89.8,Kg,G5                                 ,architect,N
4953,381,,1358,2026,1672,Y,12345,16267.42,79.9,B ,G4                                 ,analyst,N
4954,201,1758,1312,2123,1953,N,12345,770.81,3.72,WZ,G4                                 ,engineer,N
4955,411,,1447,1853,1996,N,12345,7050.51,34.2,V ,G1                                 ,mgr-3,N
4956,260,1706,1612,2063,2134,N,12345,11522.08,33.8,g ,G2                                 ,mgr-2,N
4957,301,,1429,2077,1717,Y,12345,2829.67,95.2,i ,G3                                 ,mgr-2,N
4958,190,,1594,2013,1762,N,12345,6182.89,76.6,f ,G4                                 ,mgr-1,Y
4959,391,,1551,2096,1786,N,12345,7373.49,35.1,O ,G1                                 ,mgr-3,N
4960,371,1708,1108,2144,1990,N,12345,2583.62,0.39,m ,G4                                 ,mgr-2,Y
4961,352,,1300,1656,2146,N,12345,11051.06,48.2,p ,G3                                 ,analyst,Y
4962,248,,1272,1930,1798,Y,12345,15589.5,82.4,E ,G5                                 ,mgr-3,N
4963,216,1819,1140,1819,1726,Y,12345,14675.9,3.28,ze,G1                                 ,mgr-3,N
4964,251,1750,1212,2023,1952,N,12345,9660.64,84.8,D ,G3                                 ,engineer,Y
4965,296,,1218,1797,1976,N,12345,4672.84,11.8,D ,G1                                 ,architect,Y
4966,328,,1622,2140,2139,N,12345,14260.8,95.4,Y ,G4                                 ,supervisor,Y
4967,210,,1200,1685,1717,Y,12345,11122.24,97.2,q ,G5                                 ,inspector,N
4968,406,,1373,2064,2068,Y,12345,4350.19,32.1,T ,G4                                 ,designer,N
4969,427,,1479,2147,2047,N,12345,8350.16,23.9,s ,G4                                 ,analyst,N
4970,2,,1312,1901,1906,N,12345,12245.41,97.1,r ,G2                                 ,engineer,Y
4971,384,,1441,1968,2046,N,12345,16566.65,46.8,S ,G1                                 ,mgr-2,Y
4972,48,1891,1354,1645,1910,Y,12345,12530.9,56.5,or,G5                                 ,designer,Y
4973,31,1935,1348,1912,1849,N,12345,9327.76,24.8,WK,G5                                 ,engineer,Y
4974,153,1833,1229,1665,2147,Y,12345,12292.92,1.76,P ,G1                                 ,supervisor,Y
4975,84,1705,1113,1868,1852,Y,12345,2676.31,44.9,UP,G5                                 ,designer,Y
4976,415,,1176,2045,1705,Y,12345,18378.69,82.9,wB,G2                                 ,engineer,N
