1,77,743,1435,Wrong gender,T
2,1627,826,1330,Non-payment,T
3,3444,677,1274,Too old,T
4,1948,770,1519,Salary too low,T
5,483,771,1369,Too difficult to contact,T
6,559,899,1574,Too difficult to contact,T
7,4278,751,1434,Salary too low,T
8,467,693,1527,Too difficult to contact,T
9,1549,956,1590,Billing dispute,T
10,1233,639,1309,Billing dispute,T
11,3311,803,1264,Too old,T
12,4530,1084,1511,Personal wealth too high,T
13,3912,622,1405,Personal wealth too low,T
14,1021,1025,1294,Too young,T
15,3663,701,1102,Personal wealth too low,T
16,1973,899,1586,Poor credit rating,T
17,3240,1070,1572,Deceased,T
18,4806,647,1635,Too old,T
19,3667,1051,1398,Billing dispute,T
20,3565,898,1313,Salary too low,T
21,1989,885,1592,Non-payment,T
22,3782,568,1624,Wrong gender,T
23,2840,799,1537,Too young,T
24,1875,644,1319,Salary too low,T
25,3232,962,1538,Poor credit rating,T
26,2860,702,1437,Salary too high,T
27,18,1037,1227,Salary too high,T
28,2253,730,1618,Billing dispute,T
29,4853,805,1514,Too old,T
30,4323,689,1464,Billing dispute,T
31,3179,1080,1522,Too young,T
32,4836,885,1300,Non-payment,T
33,4878,749,1444,Billing dispute,T
34,2912,965,1337,Too difficult to contact,T
35,2984,1063,1158,Deceased,T
36,3987,738,1256,Personal wealth too low,T
37,1240,968,1394,Billing dispute,T
38,4976,1096,1557,Salary too low,T
39,4574,946,1204,Poor credit rating,T
40,4075,1017,1456,Non-payment,T
41,1737,960,1301,Poor credit rating,T
42,1846,940,1567,Poor credit rating,T
43,4648,870,1631,Personal wealth too high,T
44,2993,1004,1565,Too young,T
45,2486,775,1417,Too old,T
46,108,622,1548,Personal wealth too high,T
47,3354,968,1160,Non-payment,T
48,2332,975,1362,Too young,T
49,642,583,1217,Personal wealth too high,T
50,3900,1040,1252,Salary too low,T
51,3030,648,1535,Deceased,T
52,606,1068,1512,Deceased,T
53,4659,904,1401,Billing dispute,T
54,1919,885,1492,Too young,T
55,3317,919,1261,Non-payment,T
56,3445,932,1155,Wrong gender,T
57,2893,669,1235,Billing dispute,T
58,4277,667,1602,Salary too high,T
59,4683,1024,1352,Too old,T
60,2156,895,1104,Personal wealth too high,T
61,3807,917,1353,Wrong gender,T
62,1865,967,1241,Salary too high,T
63,4888,615,1522,Poor credit rating,T
64,4558,801,1411,Salary too low,T
65,3572,870,1518,Salary too high,T
