1,800000,HAR,HAR,11/24/95,9/27/99,CCC,Stockholder Equity,Mutual Funds,BGT,Debit,REV,,,,T
2,800001,HAR,IAS,9/4/92,4/14/00,BBB,Stockholder Equity,Stocks,MA,Credit,TAX,,,,T
3,800002,HAR,HAR,4/28/92,11/13/98,BBB,Stockholder Equity,401K,GL,Credit,REV,,,,T
4,800003,HAR,HAR,7/31/92,8/21/99,BBB,Stockholder Equity,401K,GL,Credit,REV,,,,T
5,800004,IAS,IAS,6/29/93,12/26/96,AAA,Stockholder Equity,401K,MA,Credit,EXP,,,,T
6,800005,IAS,HAR,7/29/95,7/16/00,BBB,Collateral Equity,Platinum Investment,MA,Debit,TAX,,,,T
7,800006,HAR,HAR,3/28/94,12/7/00,AAA,Stockholder Equity,Stocks,GL,Debit,EXP,,,,T
8,800007,IAS,HAR,2/20/93,1/23/99,CCC,Stockholder Equity,401K,GL,Debit,EXP,,,,T
9,800008,HAR,IAS,1/14/95,2/13/99,AAA,Stockholder Equity,Stocks,MA,Credit,REV,,,,T
10,800009,IAS,HAR,11/7/93,12/29/00,AAA,Stockholder Equity,401K,GL,Debit,DEBIT,,,,T
11,800010,HAR,IAS,10/8/94,6/28/97,DDD,Loan Equity,Prinicipal Paid,MA,Credit,REV,,,,T
12,800011,HAR,HAR,4/28/95,3/28/97,DDD,Bond Interest,International,MA,Debit,TAX,,,,T
13,800012,HAR,HAR,3/1/94,11/1/00,AAA,Stockholder Equity,Mutual Funds,AP,Debit,TAX,,,,T
14,800013,HAR,HAR,7/26/95,5/27/98,BBB,Collateral Equity,Platinum Investment,AP,Credit,DEBIT,,,,T
15,800014,IAS,IAS,9/29/94,12/23/98,BBB,Loan Equity,Prinicipal Paid,MA,Credit,EXP,,,,T
16,800015,IAS,HAR,3/5/94,11/14/98,BBB,Stockholder Equity,Mutual Funds,GL,Debit,TAX,,,,T
17,800016,IAS,IAS,9/18/93,12/10/00,AAA,Stockholder Equity,Mutual Funds,MA,Debit,REV,,,,T
18,800017,HAR,HAR,12/28/93,1/20/97,BBB,Stockholder Equity,401K,AP,Debit,TAX,,,,T
19,800018,HAR,IAS,12/28/94,6/26/00,BBB,Bond Interest,International,GL,Debit,EXP,,,,T
20,800019,HAR,HAR,11/12/95,3/18/96,BBB,Collateral Equity,Gold Investment,AP,Credit,EXP,,,,T
21,800020,IAS,HAR,4/29/94,9/28/96,CCC,Stockholder Equity,Stocks,MA,Credit,DEBIT,,,,T
22,800021,HAR,HAR,4/9/92,10/1/98,CCC,Loan Equity,Prinicipal Paid,AP,Credit,DEBIT,,,,T
23,800022,HAR,IAS,3/25/95,12/7/98,AAA,Stockholder Equity,401K,BGT,Debit,DEBIT,,,,T
24,800023,IAS,HAR,12/12/92,1/11/99,BBB,Loan Equity,Prinicipal Paid,MA,Credit,DEBIT,,,,T
25,800024,IAS,IAS,8/17/95,9/11/98,BBB,Loan Equity,Prinicipal Paid,BGT,Debit,EXP,,,,T
26,800025,IAS,IAS,2/12/95,7/22/97,AAA,Stockholder Equity,Stocks,GL,Debit,TAX,,,,T
27,800026,IAS,HAR,8/19/92,6/19/98,CCC,Collateral Equity,Gold Investment,BGT,Credit,TAX,,,,T
28,800027,HAR,HAR,8/30/94,11/28/97,BBB,Loan Equity,Prinicipal Paid,GL,Credit,REV,,,,T
29,800028,IAS,HAR,12/7/93,8/5/99,BBB,Collateral Equity,Gold Investment,MA,Debit,EXP,,,,T
30,800029,HAR,HAR,10/13/94,2/26/98,AAA,Collateral Equity,Platinum Investment,BGT,Debit,TAX,,,,T
31,800030,IAS,IAS,1/6/95,3/4/99,BBB,Collateral Equity,Gold Investment,BGT,Credit,REV,,,,T
32,800031,IAS,HAR,2/11/94,2/15/99,DDD,Stockholder Equity,Stocks,MA,Debit,DEBIT,,,,T
33,800032,IAS,HAR,7/27/92,3/1/97,BBB,Bond Interest,International,AP,Debit,EXP,,,,T
34,800033,IAS,HAR,11/12/94,5/1/00,CCC,Loan Equity,Interest Owed,MA,Debit,EXP,,,,T
35,800034,HAR,HAR,9/20/95,12/20/99,BBB,Loan Equity,Prinicipal Paid,MA,Debit,EXP,,,,T
36,800035,IAS,HAR,11/7/95,6/23/96,DDD,Collateral Equity,Platinum Investment,GL,Credit,REV,,,,T
37,800036,HAR,IAS,8/11/94,1/11/00,BBB,Stockholder Equity,Stocks,BGT,Debit,TAX,,,,T
38,800037,HAR,IAS,8/9/95,12/8/99,CCC,Bond Interest,Government,MA,Debit,REV,,,,T
39,800038,HAR,HAR,9/21/94,7/26/98,BBB,Loan Equity,Prinicipal Paid,MA,Credit,EXP,,,,T
40,800039,HAR,IAS,6/2/95,2/23/00,AAA,Stockholder Equity,Mutual Funds,GL,Debit,REV,,,,T
41,800040,HAR,HAR,2/13/93,10/29/98,CCC,Collateral Equity,Platinum Investment,BGT,Credit,TAX,,,,T
