1,1,1,1,1896,22,3982,1,1,30,8,2,27,513233,22,40,182,260,1,300,1,1,,,,1,PN,.25,.25,,,In,0,,not interested
2,1,1,1,1896,22,3982,1,1,30,8,2,27,513233,22,40,142,260,1,300,1,1,,,,2,PN,.25,.25,,,In,1,,brochure requested
3,1,1,2,1838,23,3670,1,5,30,5,3,27,502969,23,453,182,328,1,413,2,1,,,,1,PN,.25,.25,,,In,0,,not interested
4,1,1,2,1838,21,3670,1,5,30,5,3,27,502969,21,453,142,328,1,413,2,1,,,,2,PN,.25,.25,,,In,0,,brochure requested
5,1,1,2,1838,23,3670,1,5,30,5,3,27,502969,23,453,62,328,1,413,2,1,,,,3,PN,.25,.25,,,In,1,,sale
9,1,2,7,1827,26,280,1,1,30,8,3,28,485021,26,91,142,260,1,235,6,1,,,,1,PN,5.85,5.85,,,In,0,,brochure requested
10,1,2,7,1827,26,280,1,1,30,8,3,28,485021,26,91,142,260,1,235,6,1,,,,2,PN,5.85,5.85,,,In,0,,brochure requested
11,1,2,7,1827,24,280,1,1,30,8,3,28,485021,24,91,62,260,1,235,6,1,,,,3,PN,5.85,5.85,,,In,1,,sale
12,1,2,9,1846,26,3532,1,4,30,5,2,28,470269,26,129,142,244,1,127,8,1,,,,1,PN,5.85,5.85,,,In,0,,brochure requested
13,1,2,9,1846,25,3532,1,4,30,5,2,28,470269,25,129,142,244,1,127,8,1,,,,2,PN,5.85,5.85,,,In,1,,brochure requested
16,1,1,14,1858,22,598,1,3,30,2,2,27,413261,22,240,142,226,1,370,11,1,,,,1,PN,.25,.25,,,In,0,,brochure requested
17,1,1,14,1858,23,598,1,3,30,2,2,27,413261,23,240,142,226,1,370,11,1,,,,2,PN,.25,.25,,,In,1,,brochure requested
18,1,1,25,1886,23,2871,1,3,30,2,2,27,399289,23,24,282,184,1,185,20,1,,,,1,PN,.25,.25,,,In,0,,answering machine
19,1,1,25,1886,21,2871,1,3,30,2,2,27,399289,21,24,142,184,1,185,20,1,,,,2,PN,.25,.25,,,In,0,,brochure requested
20,1,1,25,1886,22,2871,1,3,30,2,2,27,399289,22,24,62,184,1,185,20,1,,,,3,PN,.25,.25,,,In,1,,sale
21,1,1,31,1881,21,1937,1,1,30,4,3,27,487323,21,153,142,44,1,220,24,1,,,,1,PN,.25,.25,,,In,0,,brochure requested
22,1,1,31,1881,23,1937,1,1,30,4,3,27,487323,23,153,142,44,1,220,24,1,,,,2,PN,.25,.25,,,In,1,,brochure requested
23,1,2,37,1841,24,1967,1,1,30,1,3,28,485017,24,300,142,260,1,134,29,1,,,,1,PN,5.85,5.85,,,In,0,,brochure requested
24,1,2,37,1841,24,1967,1,1,30,1,3,28,485017,24,300,142,260,1,134,29,1,,,,2,PN,5.85,5.85,,,In,0,,brochure requested
25,1,2,37,1841,26,1967,1,1,30,1,3,28,485017,26,300,62,260,1,134,29,1,,,,3,PN,5.85,5.85,,,In,1,,sale
28,1,2,43,1895,25,1662,1,4,30,2,2,28,475419,25,383,282,195,1,138,33,1,,,,1,PN,5.85,5.85,,,In,0,,brochure requested
29,1,2,43,1895,25,1662,1,4,30,2,2,28,475419,25,383,282,195,1,138,33,1,,,,2,PN,5.85,5.85,,,In,1,,answering machine
30,1,1,44,1887,22,4087,1,4,30,7,2,27,475421,22,440,142,285,1,184,34,1,,,,1,PN,.25,.25,,,In,0,,brochure requested
31,1,1,44,1887,22,4087,1,4,30,7,2,27,475421,22,440,142,285,1,184,34,1,,,,2,PN,.25,.25,,,In,1,,brochure requested
32,1,2,45,1872,25,3695,1,3,30,1,3,28,402773,25,79,282,15,1,291,35,1,,,,1,PN,5.85,5.85,,,In,0,,not interested
33,1,2,45,1872,25,3695,1,3,30,1,3,28,402773,25,79,142,15,1,291,35,1,,,,2,PN,5.85,5.85,,,In,0,,brochure requested
34,1,2,45,1872,25,3695,1,3,30,1,3,28,402773,25,79,62,15,1,291,35,1,,,,3,PN,5.85,5.85,,,In,1,,sale
35,1,2,55,1847,24,3325,1,4,30,8,2,28,470277,24,207,142,243,1,452,43,1,,,,1,PN,5.85,5.85,,,In,0,,brochure requested
36,1,2,55,1847,26,3325,1,4,30,8,2,28,470277,26,207,142,243,1,452,43,1,,,,2,PN,5.85,5.85,,,In,0,,brochure requested
37,1,2,55,1847,25,3325,1,4,30,8,2,28,470277,25,207,62,243,1,452,43,1,,,,3,PN,5.85,5.85,,,In,1,,sale
41,1,1,75,1867,23,4178,1,4,30,5,2,27,470277,23,69,142,244,1,112,57,1,,,,1,PN,.25,.25,,,In,0,,brochure requested
42,1,1,75,1867,21,4178,1,4,30,5,2,27,470277,21,69,182,244,1,112,57,1,,,,2,PN,.25,.25,,,In,1,,not interested
43,1,1,76,1889,22,3736,1,4,30,8,3,27,471941,22,51,142,286,1,193,58,1,,,,1,PN,.25,.25,,,In,0,,brochure requested
44,1,1,76,1889,22,3736,1,4,30,8,3,27,471941,22,51,142,286,1,193,58,1,,,,2,PN,.25,.25,,,In,0,,brochure requested
45,1,1,76,1889,22,3736,1,4,30,8,3,27,471941,22,51,62,286,1,193,58,1,,,,3,PN,.25,.25,,,In,1,,sale
48,1,2,82,1848,26,2818,1,5,30,5,3,28,501391,26,209,142,280,1,476,61,1,,,,1,PN,5.85,5.85,,,In,0,,brochure requested
