54353,HH ,,1000000+,66-75,M,Student,D,N,own                                ,,1,0,,,,,Y,Y,, 
54375,HH ,,1000000+,66-75,M,Working,D,N,lease                              ,,1,0,,,,,N,N,, 
54383,HH ,,1000000+,66-75,F,Student,D,N,lease                              ,,1,0,,,,,N,N,, 
54391,HH ,,1000000+,66-75,M,Retired,M,N,rent                               ,,1,0,,,,,N,N,, 
54439,HH ,,1000000+,66-75,M,Retired,S,N,rent                               ,,1,0,,,,,N,N,, 
54511,HH ,,1000000+,66-75,F,Retired,W,N,own                                ,,1,0,,,,,N,N,, 
55225,HH ,,1000000+,66-75,F,Working,S,N,own                                ,,2,0,,,,,Y,Y,, 
56273,HH ,,1000000+,66-75,M,Student,D,N,own                                ,,4,2,,,,,Y,Y,, 
56359,HH ,,1000000+,66-75,M,Retired,S,N,rent                               ,,4,2,,,,,N,N,, 
56381,HH ,,1000000+,66-75,F,Retired,S,N,own                                ,,4,2,,,,,N,Y,, 
56391,HH ,,1000000+,66-75,M,Retired,S,N,lease                              ,,4,2,,,,,N,N,, 
57241,HH ,,1000000+,66-75,F,Retired,D,N,own                                ,,5,3,,,,,Y,Y,, 
58367,HH ,,1000000+,76+,F,Working,W,N,lease                              ,,1,0,,,,,N,N,, 
65959,HH ,,100001-125000,20-25,M,Retired,S,N,rent                               ,,1,0,,,,,N,N,, 
65967,HH ,,100001-125000,20-25,F,Working,S,N,rent                               ,,1,0,,,,,N,N,, 
65975,HH ,,100001-125000,20-25,M,Working,S,N,own                                ,,1,0,,,,,N,N,, 
65977,HH ,,100001-125000,20-25,F,Working,S,N,own                                ,,1,0,,,,,Y,Y,, 
65983,HH ,,100001-125000,20-25,F,Student,S,N,own                                ,,1,0,,,,,N,N,, 
65991,HH ,,100001-125000,20-25,M,Retired,S,N,lease                              ,,1,0,,,,,N,N,, 
66737,HH ,,100001-125000,20-25,M,Working,S,N,own                                ,,2,0,,,,,Y,Y,, 
66743,HH ,,100001-125000,20-25,M,Student,S,N,own                                ,,2,0,,,,,N,N,, 
66745,HH ,,100001-125000,20-25,F,Working,S,N,own                                ,,2,0,,,,,Y,Y,, 
66759,HH ,,100001-125000,20-25,M,Retired,S,N,lease                              ,,2,0,,,,,N,N,, 
66919,HH ,,100001-125000,20-25,M,Retired,S,N,rent                               ,,3,1,,,,,N,N,, 
66927,HH ,,100001-125000,20-25,F,Working,S,N,rent                               ,,3,1,,,,,N,N,, 
66933,HH ,,100001-125000,20-25,M,Student,S,N,own                                ,,3,1,,,,,N,Y,, 
66935,HH ,,100001-125000,20-25,M,Working,S,N,own                                ,,3,1,,,,,N,N,, 
66941,HH ,,100001-125000,20-25,F,Retired,S,N,own                                ,,3,1,,,,,N,Y,, 
66951,HH ,,100001-125000,20-25,M,Retired,S,N,lease                              ,,3,1,,,,,N,N,, 
66959,HH ,,100001-125000,20-25,F,Retired,S,N,lease                              ,,3,1,,,,,N,N,, 
67879,HH ,,100001-125000,20-25,M,Retired,S,N,rent                               ,,4,2,,,,,N,N,, 
67889,HH ,,100001-125000,20-25,M,Retired,S,N,own                                ,,4,2,,,,,Y,Y,, 
68839,HH ,,100001-125000,20-25,M,Retired,S,N,rent                               ,,5,3,,,,,N,N,, 
68847,HH ,,100001-125000,20-25,F,Working,S,N,rent                               ,,5,3,,,,,N,N,, 
68849,HH ,,100001-125000,20-25,M,Retired,S,N,own                                ,,5,3,,,,,Y,Y,, 
68855,HH ,,100001-125000,20-25,M,Working,S,N,own                                ,,5,3,,,,,N,N,, 
68857,HH ,,100001-125000,20-25,F,Working,S,N,own                                ,,5,3,,,,,Y,Y,, 
68871,HH ,,100001-125000,20-25,M,Retired,S,N,lease                              ,,5,3,,,,,N,N,, 
73551,HH ,,100001-125000,36-45,F,Retired,D,N,rent                               ,,1,0,,,,,N,N,, 
73561,HH ,,100001-125000,36-45,F,Retired,D,N,own                                ,,1,0,,,,,Y,Y,, 
73575,HH ,,100001-125000,36-45,M,Working,D,N,lease                              ,,1,0,,,,,N,N,, 
73583,HH ,,100001-125000,36-45,F,Student,D,N,lease                              ,,1,0,,,,,N,N,, 
73599,HH ,,100001-125000,36-45,F,Retired,M,N,rent                               ,,1,0,,,,,N,N,, 
73601,HH ,,100001-125000,36-45,M,Retired,M,N,own                                ,,1,0,,,,,Y,Y,, 
73609,HH ,,100001-125000,36-45,F,Retired,M,N,own                                ,,1,0,,,,,Y,Y,, 
73623,HH ,,100001-125000,36-45,M,Student,M,N,lease                              ,,1,0,,,,,N,N,, 
73639,HH ,,100001-125000,36-45,M,Retired,S,N,rent                               ,,1,0,,,,,N,N,, 
73653,HH ,,100001-125000,36-45,M,Student,S,N,own                                ,,1,0,,,,,N,Y,, 
73655,HH ,,100001-125000,36-45,M,Working,S,N,own                                ,,1,0,,,,,N,N,, 
74321,HH ,,100001-125000,36-45,M,Retired,D,N,own                                ,,2,0,,,,,Y,Y,, 
74335,HH ,,100001-125000,36-45,F,Working,D,N,own                                ,,2,0,,,,,N,N,, 
74343,HH ,,100001-125000,36-45,M,Student,D,N,lease                              ,,2,0,,,,,N,N,, 
74359,HH ,,100001-125000,36-45,M,Retired,M,N,rent                               ,,2,0,,,,,N,N,, 
74369,HH ,,100001-125000,36-45,M,Retired,M,N,own                                ,,2,0,,,,,Y,Y,, 
74399,HH ,,100001-125000,36-45,F,Retired,M,N,lease                              ,,2,0,,,,,N,N,, 
74407,HH ,,100001-125000,36-45,M,Working,S,N,rent                               ,,2,0,,,,,N,N,, 
74423,HH ,,100001-125000,36-45,M,Student,S,N,own                                ,,2,0,,,,,N,N,, 
74439,HH ,,100001-125000,36-45,M,Retired,S,N,lease                              ,,2,0,,,,,N,N,, 
74513,HH ,,100001-125000,36-45,M,Student,D,N,own                                ,,3,1,,,,,Y,Y,, 
74519,HH ,,100001-125000,36-45,M,Retired,D,N,own                                ,,3,1,,,,,N,N,, 
74551,HH ,,100001-125000,36-45,M,Retired,M,N,rent                               ,,3,1,,,,,N,N,, 
74559,HH ,,100001-125000,36-45,F,Retired,M,N,rent                               ,,3,1,,,,,N,N,, 
74561,HH ,,100001-125000,36-45,M,Retired,M,N,own                                ,,3,1,,,,,Y,Y,, 
74567,HH ,,100001-125000,36-45,M,Working,M,N,own                                ,,3,1,,,,,N,N,, 
74583,HH ,,100001-125000,36-45,M,Student,M,N,lease                              ,,3,1,,,,,N,N,, 
74599,HH ,,100001-125000,36-45,M,Retired,S,N,rent                               ,,3,1,,,,,N,N,, 
74607,HH ,,100001-125000,36-45,F,Working,S,N,rent                               ,,3,1,,,,,N,N,, 
74609,HH ,,100001-125000,36-45,M,Retired,S,N,own                                ,,3,1,,,,,Y,Y,, 
74617,HH ,,100001-125000,36-45,F,Working,S,N,own                                ,,3,1,,,,,Y,Y,, 
74631,HH ,,100001-125000,36-45,M,Retired,S,N,lease                              ,,3,1,,,,,N,N,, 
74639,HH ,,100001-125000,36-45,F,Retired,S,N,lease                              ,,3,1,,,,,N,N,, 
75463,HH ,,100001-125000,36-45,M,Student,D,N,rent                               ,,4,2,,,,,N,N,, 
75477,HH ,,100001-125000,36-45,M,Working,D,N,own                                ,,4,2,,,,,N,Y,, 
75479,HH ,,100001-125000,36-45,M,Retired,D,N,own                                ,,4,2,,,,,N,N,, 
